,id_code,experiment,plate,well,sirna
0,HEPG2-01_1_B03,HEPG2-01,1,B03,513
1,HEPG2-01_1_B04,HEPG2-01,1,B04,840
2,HEPG2-01_1_B05,HEPG2-01,1,B05,1020
3,HEPG2-01_1_B06,HEPG2-01,1,B06,254
4,HEPG2-01_1_B07,HEPG2-01,1,B07,144
5,HEPG2-01_1_B08,HEPG2-01,1,B08,503
6,HEPG2-01_1_B09,HEPG2-01,1,B09,188
7,HEPG2-01_1_B10,HEPG2-01,1,B10,700
8,HEPG2-01_1_B11,HEPG2-01,1,B11,1100
9,HEPG2-01_1_B12,HEPG2-01,1,B12,611
10,HEPG2-01_1_B13,HEPG2-01,1,B13,276
11,HEPG2-01_1_B14,HEPG2-01,1,B14,397
12,HEPG2-01_1_B15,HEPG2-01,1,B15,757
13,HEPG2-01_1_B16,HEPG2-01,1,B16,828
14,HEPG2-01_1_B17,HEPG2-01,1,B17,91
15,HEPG2-01_1_B18,HEPG2-01,1,B18,567
16,HEPG2-01_1_B19,HEPG2-01,1,B19,6
17,HEPG2-01_1_B20,HEPG2-01,1,B20,460
18,HEPG2-01_1_B21,HEPG2-01,1,B21,413
19,HEPG2-01_1_B22,HEPG2-01,1,B22,555
20,HEPG2-01_1_B23,HEPG2-01,1,B23,74
21,HEPG2-01_1_C02,HEPG2-01,1,C02,950
22,HEPG2-01_1_C04,HEPG2-01,1,C04,253
23,HEPG2-01_1_C05,HEPG2-01,1,C05,272
24,HEPG2-01_1_C06,HEPG2-01,1,C06,162
25,HEPG2-01_1_C08,HEPG2-01,1,C08,177
26,HEPG2-01_1_C09,HEPG2-01,1,C09,1023
27,HEPG2-01_1_C10,HEPG2-01,1,C10,282
28,HEPG2-01_1_C12,HEPG2-01,1,C12,762
29,HEPG2-01_1_C13,HEPG2-01,1,C13,547
30,HEPG2-01_1_C14,HEPG2-01,1,C14,750
31,HEPG2-01_1_C16,HEPG2-01,1,C16,10
32,HEPG2-01_1_C17,HEPG2-01,1,C17,212
33,HEPG2-01_1_C18,HEPG2-01,1,C18,960
34,HEPG2-01_1_C20,HEPG2-01,1,C20,870
35,HEPG2-01_1_C21,HEPG2-01,1,C21,549
36,HEPG2-01_1_C23,HEPG2-01,1,C23,655
37,HEPG2-01_1_D02,HEPG2-01,1,D02,70
38,HEPG2-01_1_D03,HEPG2-01,1,D03,350
39,HEPG2-01_1_D04,HEPG2-01,1,D04,745
40,HEPG2-01_1_D05,HEPG2-01,1,D05,1042
41,HEPG2-01_1_D06,HEPG2-01,1,D06,436
42,HEPG2-01_1_D07,HEPG2-01,1,D07,537
43,HEPG2-01_1_D08,HEPG2-01,1,D08,124
44,HEPG2-01_1_D09,HEPG2-01,1,D09,203
45,HEPG2-01_1_D10,HEPG2-01,1,D10,708
46,HEPG2-01_1_D11,HEPG2-01,1,D11,415
47,HEPG2-01_1_D12,HEPG2-01,1,D12,653
48,HEPG2-01_1_D13,HEPG2-01,1,D13,1056
49,HEPG2-01_1_D14,HEPG2-01,1,D14,456
50,HEPG2-01_1_D15,HEPG2-01,1,D15,217
51,HEPG2-01_1_D16,HEPG2-01,1,D16,681
52,HEPG2-01_1_D17,HEPG2-01,1,D17,113
53,HEPG2-01_1_D18,HEPG2-01,1,D18,791
54,HEPG2-01_1_D19,HEPG2-01,1,D19,538
55,HEPG2-01_1_D20,HEPG2-01,1,D20,290
56,HEPG2-01_1_D21,HEPG2-01,1,D21,576
57,HEPG2-01_1_D22,HEPG2-01,1,D22,1031
58,HEPG2-01_1_D23,HEPG2-01,1,D23,883
59,HEPG2-01_1_E02,HEPG2-01,1,E02,400
60,HEPG2-01_1_E03,HEPG2-01,1,E03,984
61,HEPG2-01_1_E04,HEPG2-01,1,E04,80
62,HEPG2-01_1_E05,HEPG2-01,1,E05,371
63,HEPG2-01_1_E06,HEPG2-01,1,E06,987
64,HEPG2-01_1_E07,HEPG2-01,1,E07,211
65,HEPG2-01_1_E08,HEPG2-01,1,E08,157
66,HEPG2-01_1_E09,HEPG2-01,1,E09,921
67,HEPG2-01_1_E10,HEPG2-01,1,E10,478
68,HEPG2-01_1_E11,HEPG2-01,1,E11,577
69,HEPG2-01_1_E12,HEPG2-01,1,E12,345
70,HEPG2-01_1_E13,HEPG2-01,1,E13,784
71,HEPG2-01_1_E14,HEPG2-01,1,E14,894
72,HEPG2-01_1_E15,HEPG2-01,1,E15,385
73,HEPG2-01_1_E16,HEPG2-01,1,E16,1028
74,HEPG2-01_1_E17,HEPG2-01,1,E17,8
75,HEPG2-01_1_E18,HEPG2-01,1,E18,552
76,HEPG2-01_1_E19,HEPG2-01,1,E19,695
77,HEPG2-01_1_E20,HEPG2-01,1,E20,459
78,HEPG2-01_1_E21,HEPG2-01,1,E21,581
79,HEPG2-01_1_E22,HEPG2-01,1,E22,1060
80,HEPG2-01_1_E23,HEPG2-01,1,E23,355
81,HEPG2-01_1_F02,HEPG2-01,1,F02,900
82,HEPG2-01_1_F04,HEPG2-01,1,F04,340
83,HEPG2-01_1_F05,HEPG2-01,1,F05,486
84,HEPG2-01_1_F06,HEPG2-01,1,F06,907
85,HEPG2-01_1_F08,HEPG2-01,1,F08,391
86,HEPG2-01_1_F09,HEPG2-01,1,F09,838
87,HEPG2-01_1_F10,HEPG2-01,1,F10,523
88,HEPG2-01_1_F12,HEPG2-01,1,F12,1084
89,HEPG2-01_1_F13,HEPG2-01,1,F13,1089
90,HEPG2-01_1_F14,HEPG2-01,1,F14,670
91,HEPG2-01_1_F16,HEPG2-01,1,F16,450
92,HEPG2-01_1_F17,HEPG2-01,1,F17,389
93,HEPG2-01_1_F18,HEPG2-01,1,F18,379
